id,field_name,questionnaire_no,rule_type,rule_added,prevents,source_or_judgement
C001,start/end (system),n/a (added),added field,ODK start/end metadata timestamps captured automatically at open/finalize,"Interview duration cannot be computed from the paper form at all -- it has no start-time field, only 7.01 end time. This is the exact signal that identified the 94-interview, 4-minute-mean fraud case, but only after fieldwork closed.","My judgement, directly driven by the operating-conditions fraud case"
C002,device_id (system),n/a (added),added field,ODK deviceid metadata captured automatically,Cannot attribute submissions to a specific tablet for the per-device duplicate-label check (requirement 8) or for device-level QA dashboards,My judgement
C003,structure_no,1.06,range,1-999,Non-numeric or >3-digit entry that cannot fit the printed 3-digit box,Paper form coding box is three digits wide (⌷⌷⌷); my judgement on the implied range
C004,hh_serial,1.07,range,1-999,Non-numeric or >3-digit entry,Paper form coding box is three digits wide
C005,team_code_display,1.08 / 1.09,"removed manual entry, auto-filled","team_code_display = pulldata('staff_roster', 'team_code', 'name', enumerator_code), shown read-only; the enumerator never types a team code","Paper 1.09 lets an enumerator enter their own code correctly at 1.08 but a mistyped or wrong team code at 1.09, which would then misassign the specimen-label range check in Section 5 to the wrong team's block","Derived from staff_roster.csv (120 rows, 24 teams, verified 1:1 with specimen_label_allocation.csv team codes)"
C006,visit_date,1.10,range,2026-06-01 to 2026-06-30 (closed interval),Backdated/postdated entries; device clock errors; typed year defaulting to device-current-year instead of 2026,"Printed on the questionnaire header ('Fieldwork period 1 to 30 June 2026'). NOTE: this conflicts with the operating-conditions brief, which states fieldwork runs 14 days -- flagged as defect D-07, escalated, not resolved silently. I used the form's own printed period because it is the ethics-approved text."
C007,gps_dwelling,1.11,range,"longitude 6.3-9.0, latitude 10.0-11.9 (geopoint bounding box)","Wrong-hemisphere entry, transposed lat/long, GPS fix taken indoors far from the dwelling, stale cached fix from a previous survey","My judgement -- padded from the settlement register's actual coordinate extent (longitude 6.9544 to 8.4288, latitude 10.3659 to 11.5735 across the 2,524 settlements in settlements.csv) with roughly a 0.4-0.5 degree margin for genuine edge-of-catchment points"
C008,prev_round_hh_id,1.13,format + existence,"regex ^BAN-[0-9]{6}$, and must resolve via pulldata() against previous_round_households.csv (3,982 rows, format verified 100% compliant)","A transcription error that silently creates a phantom link between this round and a household that was never actually visited last round, which would corrupt any longitudinal linkage analysis","previous_round_households.csv, all 3,982 household_id values checked; format is uniform"
C009,hh_size_stated,3.01,range,1-30,Zero or absurd entries (e.g. 300 from a stuck key); still permits genuinely large compound households up to 30,"My judgement -- no household-size distribution was supplied in the data pack for Bansara state, so I set a generous ceiling rather than infer one"
C010,member_under5,"n/a (added, drives 3(5)/3(6) routing)",added field,select_one yes/no gates which of age_years / age_months is asked,"The paper form leaves it to the enumerator's judgement which of columns (5)/(6) to fill for a borderline-looking child, which a printed form can get away with but a digital form's relevant logic cannot -- it needs an explicit branch",My judgement
C011,age_years,3(5),range,5-110,"A member coded 'not under five' with an age below 5, or an implausible age from a stuck key (e.g. 999)",Lower bound follows directly from the routing question; upper bound is my judgement (no Bansara demographic data supplied)
C012,age_months,3(6),range,0-59,"A member coded 'under five' with a months value that is actually five years or older, which would silently misroute Section 4/5 eligibility",Definitional: 'under five years' cannot exceed 59 completed months
C013,c_weight_kg,4.05,sentinel split + range,"Split into weight_status (measured/not measured/refused) + c_weight_kg numeric 2.0-30.0, numeric field only relevant if status=measured","The paper form's '99 = not measured' sentinel living inside a continuous kg field, which is analytically indistinguishable from a genuine (if unlikely) 99.0kg entry once digitised as a plain decimal field","Range is my judgement, generously padded around WHO Child Growth Standards weight-for-age for 9-59 months to avoid rejecting true severe-malnutrition or high-BMI outliers while catching entry blunders (e.g. a misplaced decimal point)"
C014,measure_position,4.07,"consistency (documented, not blocked)",Recorded alongside height so the office can apply the standard 0.7cm recumbent/standing correction; a mid-survey change in which position is used for a given age band is expected (operating conditions say a measurement-position change is likely mid-round) and must not be blocked,"A position switch is a real, expected event this round -- flagging it (via the codebook, not a form constraint) is correct; refusing it in-form is not",Operating conditions: 'A change to the instrument part way through the round is likely'
